"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"13497","OPTCUR","JPYINR","OPTION","27-Dec-2023",54.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",7,8.555,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.6225,"JPYINR"
"2768","OPTCUR","JPYINR","OPTION","27-Dec-2023",54.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.7975,8.3375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.6875,"JPYINR"
"1465","OPTCUR","JPYINR","OPTION","27-Dec-2023",54.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.5925,8.1225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.8075,"JPYINR"
"1472","OPTCUR","JPYINR","OPTION","27-Dec-2023",55,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.3925,7.9075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.5975,"JPYINR"
"11429","OPTCUR","JPYINR","OPTION","27-Dec-2023",55.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.195,7.695,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"JPYINR"
"8381","OPTCUR","JPYINR","OPTION","27-Dec-2023",55.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6,7.485,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",10.445,"JPYINR"
"8383","OPTCUR","JPYINR","OPTION","27-Dec-2023",55.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.8075,7.2775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",10.2375,"JPYINR"
"16010","OPTCUR","JPYINR","OPTION","27-Dec-2023",56,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.6175,7.0725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",10.4325,"JPYINR"
"7603","OPTCUR","JPYINR","OPTION","27-Dec-2023",56.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.4325,6.8675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.15,"JPYINR"
"7605","OPTCUR","JPYINR","OPTION","27-Dec-2023",56.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.25,6.67,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.96,"JPYINR"
"7644","OPTCUR","JPYINR","OPTION","27-Dec-2023",56.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.07,6.47,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.77,"JPYINR"
"7646","OPTCUR","JPYINR","OPTION","27-Dec-2023",57,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.8925,6.2725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.5825,"JPYINR"
"7648","OPTCUR","JPYINR","OPTION","27-Dec-2023",57.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.72,6.08,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.4,"JPYINR"
"7650","OPTCUR","JPYINR","OPTION","27-Dec-2023",57.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.55,5.89,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.22,"JPYINR"
"7652","OPTCUR","JPYINR","OPTION","27-Dec-2023",57.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.385,5.705,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.045,"JPYINR"
"7654","OPTCUR","JPYINR","OPTION","27-Dec-2023",58,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.2225,5.5175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.87,"JPYINR"
"7656","OPTCUR","JPYINR","OPTION","27-Dec-2023",58.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.0575,5.3325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.695,"JPYINR"
